,날짜,평균강수량,최대강수량,평균기온,최고기온,최저기온,평균습도,최저습도,평균풍속,최대풍속,마늘가격,마늘거래량,마늘생산량,마늘저장이월량,마늘수입량,마늘수입금액,마늘재배면적,고급휘발유,보통휘발유,자동차용경유,소비자물가지수,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가
14,2014-01-16,0.0,0.5,-0.9,5.2,-6.6,62,18,1.5,9.2,2273.507923,11.99,353760,0,52810,30417,25062,2196.88,1886.88,1705.98,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
15,2014-01-17,0.0,20.4,-0.1,5.9,-5.0,64,17,1.2,9.5,1621.7207210000001,28.86,353760,0,52810,30417,25062,2196.73,1886.39,1705.56,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
16,2014-01-18,0.0,9.1,-0.6,3.9,-4.6,53,16,2.9,18.1,2274.944209,14.16,353760,0,52810,30417,25062,2196.89,1886.06,1705.11,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
17,2014-01-19,0.0,1.5,-1.7,4.6,-8.3,49,8,1.4,13.6,2212.8422874999997,25.375,353760,0,52810,30417,25062,2197.16,1885.83,1704.69,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
18,2014-01-20,1.5,9.0,1.0,5.5,-2.2,69,18,2.4,19.1,2150.740366,36.59,353760,0,52810,30417,25062,2196.39,1885.54,1704.51,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
19,2014-01-21,1.4,31.2,-2.9,-0.1,-5.5,66,26,3.0,21.4,2263.127269,31.95,353760,0,52810,30417,25062,2195.7,1885.24,1704.06,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
20,2014-01-22,0.0,0.0,-2.7,3.4,-8.0,60,11,2.0,15.7,2355.274786,27.11,353760,0,52810,30417,25062,2195.18,1884.91,1703.67,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
21,2014-01-23,0.0,0.1,-1.0,7.1,-7.5,62,12,1.3,10.8,2305.0,14.34,353760,0,52810,30417,25062,2195.24,1884.54,1703.47,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
22,2014-01-24,0.0,0.0,4.0,10.7,-3.5,66,23,1.9,11.3,2396.097276,34.29,353760,0,52810,30417,25062,2195.73,1884.02,1702.88,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
23,2014-01-25,1.9,9.0,6.2,10.6,1.4,79,38,2.1,14.8,2551.934468,19.04,353760,0,52810,30417,25062,2194.72,1883.73,1702.41,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
24,2014-01-26,0.2,9.5,0.4,5.6,-4.1,56,8,2.5,14.3,2095.400431,68.075,353760,0,52810,30417,25062,2194.88,1883.55,1702.17,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
25,2014-01-27,0.0,0.0,0.7,8.9,-7.0,56,8,1.7,14.2,1638.866394,117.11,353760,0,52810,30417,25062,2194.69,1883.49,1702.14,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
26,2014-01-28,0.1,1.3,3.0,9.3,-3.1,57,11,2.2,12.3,2616.798,23.0,353760,0,52810,30417,25062,2195.53,1883.21,1701.88,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
27,2014-01-29,0.7,8.4,3.0,11.5,-6.4,51,5,1.4,12.4,1774.9984969999998,26.61,353760,0,52810,30417,25062,2195.85,1883.07,1701.64,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
28,2014-01-30,1.1,5.1,6.1,10.2,1.7,73,13,2.3,14.0,887.4992484999999,13.305,353760,0,52810,30417,25062,2196.62,1882.83,1701.27,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
29,2014-02-02,0.4,2.0,8.9,14.2,5.1,84,16,1.9,13.0,1166.969018,12.83,353760,0,52810,30417,25062,2196.99,1882.63,1700.81,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
30,2014-02-03,0.0,3.9,1.8,7.3,-4.5,50,9,3.6,17.7,2333.938036,25.66,353760,0,52810,30417,25062,2197.29,1882.25,1700.62,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
31,2014-02-04,0.0,15.1,-4.9,-0.7,-8.1,35,9,3.7,20.5,2099.553886,15.31,353760,0,52810,30417,25062,2196.64,1882.22,1700.7,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
32,2014-02-05,0.0,2.2,-3.8,1.4,-8.1,40,11,1.7,11.1,2054.140915,8.09,353760,0,52810,30417,25062,2196.96,1881.94,1700.5,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
33,2014-02-06,0.3,36.2,-0.5,4.5,-4.8,52,13,1.7,10.3,2333.17995,16.06,353760,0,52810,30417,25062,2197.83,1881.8,1700.22,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
34,2014-02-07,2.8,35.5,2.6,6.7,-1.8,66,32,2.6,9.5,4364.891082,41.04,353760,0,52810,30417,25062,2197.37,1881.48,1699.92,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
35,2014-02-08,3.2,21.5,2.2,4.6,0.4,81,39,2.3,15.8,2315.907001,9.57,353760,0,52810,30417,25062,2197.66,1881.13,1699.48,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
36,2014-02-09,3.2,44.6,0.4,3.3,-1.3,76,35,2.5,16.4,2257.3317100000004,12.379999999999999,353760,0,52810,30417,25062,2197.34,1881.0,1699.1,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
37,2014-02-10,2.2,44.2,0.1,3.4,-2.6,72,32,2.4,12.8,2198.7564190000003,15.19,353760,0,52810,30417,25062,2197.04,1880.85,1699.14,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
38,2014-02-11,0.6,14.4,0.1,5.3,-4.2,63,23,2.1,9.6,2174.481525,13.69,353760,0,52810,30417,25062,2195.41,1880.37,1698.7,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
39,2014-02-12,0.4,9.1,0.9,6.5,-3.3,65,26,1.7,9.1,2140.045783,12.45,353760,0,52810,30417,25062,2195.22,1880.18,1698.37,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
40,2014-02-13,2.1,40.1,1.6,6.0,-2.7,68,26,2.0,11.1,2139.788669,11.12,353760,0,52810,30417,25062,2194.07,1880.08,1698.15,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
41,2014-02-14,0.2,5.4,1.9,6.0,-1.6,63,26,2.3,11.2,2178.802407,19.61,353760,0,52810,30417,25062,2192.9,1879.89,1697.95,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
42,2014-02-15,0.0,1.0,1.7,8.9,-4.1,62,15,1.6,11.6,2030.0195600000002,12.27,353760,0,52810,30417,25062,2194.28,1879.81,1697.69,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
43,2014-02-16,0.0,0.0,2.7,10.1,-3.9,62,11,1.2,7.4,2212.8934435,15.225,353760,0,52810,30417,25062,2195.22,1879.62,1697.39,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
44,2014-02-17,2.5,32.0,4.1,8.3,0.7,66,20,2.0,13.2,2395.767327,18.18,353760,0,52810,30417,25062,2195.6,1879.59,1697.58,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
45,2014-02-18,0.5,8.5,2.4,5.6,-0.7,61,28,2.8,10.7,2372.656974,22.01,353760,0,52810,30417,25062,2199.79,1880.49,1697.75,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
46,2014-02-19,0.1,2.1,1.6,6.7,-2.8,60,22,1.8,9.0,2129.415094,12.19,353760,0,52810,30417,25062,2201.21,1880.43,1697.61,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
47,2014-02-20,0.0,9.2,1.5,7.5,-3.8,64,13,1.8,12.5,2242.813382,22.69,353760,0,52810,30417,25062,2200.68,1880.46,1697.58,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
48,2014-02-21,0.0,9.6,1.1,7.9,-4.4,57,5,1.7,11.8,1976.583398,14.25,353760,0,52810,30417,25062,2202.19,1880.32,1697.44,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
49,2014-02-22,0.0,2.4,1.8,9.2,-4.5,61,14,1.4,8.8,2131.121815,12.56,353760,0,52810,30417,25062,2202.28,1880.29,1697.35,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
50,2014-02-23,0.0,1.8,2.9,10.4,-3.3,62,15,1.3,7.4,2004.8702614999997,17.505,353760,0,52810,30417,25062,2202.76,1880.23,1697.06,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
51,2014-02-24,0.0,6.5,4.2,12.0,-2.5,61,19,1.3,7.8,1878.6187079999997,22.45,353760,0,52810,30417,25062,2201.33,1880.29,1697.34,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
52,2014-02-25,0.0,0.2,5.6,13.6,-1.3,61,18,1.3,6.7,2176.60716,20.95,353760,0,52810,30417,25062,2201.91,1880.5,1697.62,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
53,2014-02-26,4.1,57.8,6.2,11.5,1.2,72,18,1.4,11.5,2135.27245,22.26,353760,0,52810,30417,25062,2202.06,1880.55,1697.69,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
54,2014-02-27,0.2,3.3,8.6,15.5,3.4,68,18,1.9,11.4,1919.3266239999998,22.16,353760,0,52810,30417,25062,2202.53,1880.49,1697.5,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
55,2014-02-28,0.1,3.7,7.1,11.8,3.1,68,28,1.9,10.5,2830.0779629999997,24.56,353760,0,52810,30417,25062,2202.75,1880.43,1697.53,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
56,2014-03-01,2.1,31.9,6.6,9.8,4.0,76,30,1.5,12.1,2019.439386,16.04,353760,0,52810,30417,25062,2203.54,1880.52,1697.35,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
57,2014-03-02,0.6,16.5,5.0,10.5,0.4,59,11,2.5,15.3,2185.3288224999997,23.105,353760,0,52810,30417,25062,2203.51,1880.52,1697.19,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
58,2014-03-03,0.0,0.0,4.3,11.6,-2.4,52,11,1.6,8.4,2351.2182589999998,30.17,353760,0,52810,30417,25062,2202.73,1880.59,1697.44,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
59,2014-03-04,0.2,26.6,5.1,11.4,-1.1,57,14,1.5,10.3,2373.7745010000003,23.06,353760,0,52810,30417,25062,2203.05,1880.89,1697.46,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
60,2014-03-05,0.7,15.1,3.1,8.0,-0.7,45,7,3.7,16.7,1911.595393,28.95,353760,0,52810,30417,25062,2202.82,1881.03,1697.47,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
61,2014-03-06,0.0,0.3,1.4,6.5,-4.1,39,10,2.7,13.3,2059.539486,21.32,353760,0,52810,30417,25062,2202.59,1881.2,1697.44,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
62,2014-03-07,0.0,0.2,1.3,6.3,-3.8,35,8,3.0,14.0,2016.281968,38.44,353760,0,52810,30417,25062,2202.68,1881.57,1697.76,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
63,2014-03-08,0.0,0.4,2.4,8.2,-3.2,46,10,2.1,8.9,2110.553206,28.85,353760,0,52810,30417,25062,2202.76,1881.68,1697.62,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
64,2014-03-09,1.3,5.8,2.5,7.2,-1.5,52,10,3.0,16.3,2164.1951905,26.25,353760,0,52810,30417,25062,2202.82,1881.68,1697.44,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
65,2014-03-10,0.0,0.0,2.0,8.8,-4.4,45,10,2.3,15.3,2217.837175,23.65,353760,0,52810,30417,25062,2204.16,1881.83,1697.79,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
66,2014-03-11,0.0,0.0,5.0,13.6,-3.6,48,8,2.0,12.5,2109.8456739999997,94.67,353760,0,52810,30417,25062,2204.07,1881.9,1697.68,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
67,2014-03-12,23.0,55.0,5.8,9.3,0.5,79,11,1.5,14.4,2027.970675,57.63,353760,0,52810,30417,25062,2204.69,1882.04,1697.54,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
68,2014-03-13,8.8,37.5,4.2,7.6,1.4,80,31,3.0,21.3,2268.141709,22.14,353760,0,52810,30417,25062,2204.33,1882.1,1697.54,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
