날짜,평균강수량,최대강수량,평균기온,최고기온,최저기온,평균습도,최저습도,평균풍속,최대풍속,무거래량,무생산량,무저장이월량,무수입량,무수입금액,무재배면적,고급휘발유,보통휘발유,자동차용경유,소비자물가지수,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가,무가격
2014-01-03,0,0,2.6,10.1,-3.2,54,12,1.2,9.6,833.98,0,0,0,0,21030,2200.04,1888.51,1707.15,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,307.1988364
2014-01-04,1.2,31,1.5,6.9,-2.8,63,12,1.7,11.9,615.89,0,0,0,0,21030,2199.92,1888.98,1707.61,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,300.9311667
2014-01-06,0,11,0.2,7.6,-5.1,59,12,1.1,7.7,870.91,0,0,0,0,21030,2200.38,1889.14,1707.8,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,264.600638
2014-01-07,0,1.5,1.9,7.8,-4.3,60,16,1.1,8,818.27,0,0,0,0,21030,2200.69,1889.15,1707.73,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,250.0295747
2014-01-08,1.8,41.3,2.1,5.3,-1.4,65,25,2.4,17.7,599.28,0,0,0,0,21030,2200.98,1889.16,1707.7,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,249.7987572
2014-01-09,0,31.7,-4.4,-0.6,-8.1,34,9,3.6,22.3,484.39,0,0,0,0,21030,2201.02,1889.13,1707.6,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,250.6757008
2014-01-10,0,1.4,-3.7,2,-9.6,56,10,1.8,12,499.97,0,0,0,0,21030,2201.38,1888.66,1707.37,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,248.6961218
2014-01-11,0,0.2,-0.8,4.4,-5.5,58,14,1.6,12,612.66,0,0,0,0,21030,2202.06,1888.51,1707.28,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,226.7215095
2014-01-13,0,20.7,-3.9,1.5,-8.4,38,8,2.3,13.3,643.31,0,0,0,0,21030,2201.17,1888.27,1707.12,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,237.2104049
2014-01-14,0,1.1,-3.4,3.4,-9.3,43,10,1.8,11.6,554.51,0,0,0,0,21030,2198.59,1887.64,1706.65,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,232.5517396
2014-01-15,0,1,-2.3,4.3,-8.1,50,12,1.8,10.6,453.35,0,0,0,0,21030,2196.99,1887.23,1706.31,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,241.106729
2014-01-16,0,0.5,-0.9,5.2,-6.6,62,18,1.5,9.2,608.02,0,0,0,0,21030,2196.88,1886.88,1705.98,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,243.5395642
2014-01-17,0,20.4,-0.1,5.9,-5,64,17,1.2,9.5,642.32,0,0,0,0,21030,2196.73,1886.39,1705.56,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,237.0081143
2014-01-18,0,9.1,-0.6,3.9,-4.6,53,16,2.9,18.1,584.71,0,0,0,0,21030,2196.89,1886.06,1705.11,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,232.3970857
2014-01-20,1.5,9,1,5.5,-2.2,69,18,2.4,19.1,675.48,0,0,0,0,21030,2196.39,1885.54,1704.51,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,247.2764257
2014-01-21,1.4,31.2,-2.9,-0.1,-5.5,66,26,3,21.4,735,0,0,0,0,21030,2195.7,1885.24,1704.06,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,247.0636488
2014-01-22,0,0,-2.7,3.4,-8,60,11,2,15.7,630.09,0,0,0,0,21030,2195.18,1884.91,1703.67,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,249.686396
2014-01-23,0,0.1,-1,7.1,-7.5,62,12,1.3,10.8,622.96,0,0,0,0,21030,2195.24,1884.54,1703.47,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,251.1838565
2014-01-24,0,0,4,10.7,-3.5,66,23,1.9,11.3,586.78,0,0,0,0,21030,2195.73,1884.02,1702.88,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,260.1910079
2014-01-25,1.9,9,6.2,10.6,1.4,79,38,2.1,14.8,655.06,0,0,0,0,21030,2194.72,1883.73,1702.41,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,264.8752786
2014-01-27,0,0,0.7,8.9,-7,56,8,1.7,14.2,858.7,0,0,0,0,21030,2194.69,1883.49,1702.14,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,263.1023335
2014-01-28,0.1,1.3,3,9.3,-3.1,57,11,2.2,12.3,1013.11,0,0,0,0,21030,2195.53,1883.21,1701.88,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,257.3672854
2014-01-29,0.7,8.4,3,11.5,-6.4,51,5,1.4,12.4,758.07,0,0,0,0,21030,2195.85,1883.07,1701.64,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,250.0803352
2014-01-30,1.1,5.1,6.1,10.2,1.7,73,13,2.3,14,252.79,0,0,0,0,21030,2196.62,1882.83,1701.27,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6,233.0450813
2014-02-03,0,3.9,1.8,7.3,-4.5,50,9,3.6,17.7,473.07,0,0,0,0,21030,2197.29,1882.25,1700.62,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,234.6941493
2014-02-04,0,15.1,-4.9,-0.7,-8.1,35,9,3.7,20.5,420.27,0,0,0,0,21030,2196.64,1882.22,1700.7,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,222.5799006
2014-02-05,0,2.2,-3.8,1.4,-8.1,40,11,1.7,11.1,344.76,0,0,0,0,21030,2196.96,1881.94,1700.5,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,219.4540002
2014-02-06,0.3,36.2,-0.5,4.5,-4.8,52,13,1.7,10.3,310.06,0,0,0,0,21030,2197.83,1881.8,1700.22,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,242.2040392
2014-02-07,2.8,35.5,2.6,6.7,-1.8,66,32,2.6,9.5,406.96,0,0,0,0,21030,2197.37,1881.48,1699.92,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,233.2867281
2014-02-08,3.2,21.5,2.2,4.6,0.4,81,39,2.3,15.8,362.69,0,0,0,0,21030,2197.66,1881.13,1699.48,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,255.1584566
2014-02-10,2.2,44.2,0.1,3.4,-2.6,72,32,2.4,12.8,472.47,0,0,0,0,21030,2197.04,1880.85,1699.14,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,287.2045548
2014-02-11,0.6,14.4,0.1,5.3,-4.2,63,23,2.1,9.6,513.86,0,0,0,0,21030,2195.41,1880.37,1698.7,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,325.0778416
2014-02-12,0.4,9.1,0.9,6.5,-3.3,65,26,1.7,9.1,731,0,0,0,0,21030,2195.22,1880.18,1698.37,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,331.1676817
2014-02-13,2.1,40.1,1.6,6,-2.7,68,26,2,11.1,887.33,0,0,0,0,21030,2194.07,1880.08,1698.15,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,294.8055461
2014-02-14,0.2,5.4,1.9,6,-1.6,63,26,2.3,11.2,801.2,0,0,0,0,21030,2192.9,1879.89,1697.95,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,251.8055507
2014-02-15,0,1,1.7,8.9,-4.1,62,15,1.6,11.6,655.4,0,0,0,0,21030,2194.28,1879.81,1697.69,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,208.875774
2014-02-17,2.5,32,4.1,8.3,0.7,66,20,2,13.2,555.78,0,0,0,0,21030,2195.6,1879.59,1697.58,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,230.5542461
2014-02-18,0.5,8.5,2.4,5.6,-0.7,61,28,2.8,10.7,415.22,0,0,0,0,21030,2199.79,1880.49,1697.75,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,243.915033
2014-02-19,0.1,2.1,1.6,6.7,-2.8,60,22,1.8,9,457.82,0,0,0,0,21030,2201.21,1880.43,1697.61,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,245.5145931
2014-02-20,0,9.2,1.5,7.5,-3.8,64,13,1.8,12.5,585.69,0,0,0,0,21030,2200.68,1880.46,1697.58,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,237.8043867
2014-02-21,0,9.6,1.1,7.9,-4.4,57,5,1.7,11.8,522.32,0,0,0,0,21030,2202.19,1880.32,1697.44,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,243.3045133
2014-02-22,0,2.4,1.8,9.2,-4.5,61,14,1.4,8.8,541.31,0,0,0,0,21030,2202.28,1880.29,1697.35,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,244.6984364
2014-02-24,0,6.5,4.2,12,-2.5,61,19,1.3,7.8,647.66,0,0,0,0,21030,2201.33,1880.29,1697.34,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,247.6717866
2014-02-25,0,0.2,5.6,13.6,-1.3,61,18,1.3,6.7,530.66,0,0,0,0,21030,2201.91,1880.5,1697.62,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,260.172842
2014-02-26,4.1,57.8,6.2,11.5,1.2,72,18,1.4,11.5,656.5,0,0,0,0,21030,2202.06,1880.55,1697.69,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,287.5472963
2014-02-27,0.2,3.3,8.6,15.5,3.4,68,18,1.9,11.4,610.68,0,0,0,0,21030,2202.53,1880.49,1697.5,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,315.4081706
2014-02-28,0.1,3.7,7.1,11.8,3.1,68,28,1.9,10.5,550.21,0,0,0,0,21030,2202.75,1880.43,1697.53,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4,355.5318353
2014-03-01,2.1,31.9,6.6,9.8,4,76,30,1.5,12.1,622.94,0,0,0,0,21030,2203.54,1880.52,1697.35,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,330.1303826
2014-03-03,0,0,4.3,11.6,-2.4,52,11,1.6,8.4,737.64,0,0,0,0,21030,2202.73,1880.59,1697.44,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,335.4702319
2014-03-04,0.2,26.6,5.1,11.4,-1.1,57,14,1.5,10.3,708.12,0,0,0,0,21030,2203.05,1880.89,1697.46,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,353.5621182
2014-03-05,0.7,15.1,3.1,8,-0.7,45,7,3.7,16.7,741.49,0,0,0,0,21030,2202.82,1881.03,1697.47,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,356.4101809
2014-03-06,0,0.3,1.4,6.5,-4.1,39,10,2.7,13.3,687.9,0,0,0,0,21030,2202.59,1881.2,1697.44,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,343.2514508
2014-03-07,0,0.2,1.3,6.3,-3.8,35,8,3,14,758.39,0,0,0,0,21030,2202.68,1881.57,1697.76,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,328.0128957
2014-03-08,0,0.4,2.4,8.2,-3.2,46,10,2.1,8.9,791.23,0,0,0,0,21030,2202.76,1881.68,1697.62,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,303.8502079
2014-03-10,0,0,2,8.8,-4.4,45,10,2.3,15.3,904.39,0,0,0,0,21030,2204.16,1881.83,1697.79,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,295.4638031
2014-03-11,0,0,5,13.6,-3.6,48,8,2,12.5,732.52,0,0,0,0,21030,2204.07,1881.9,1697.68,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,290.1483914
2014-03-12,23,55,5.8,9.3,0.5,79,11,1.5,14.4,699.2,0,0,0,0,21030,2204.69,1882.04,1697.54,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,302.1396003
2014-03-13,8.8,37.5,4.2,7.6,1.4,80,31,3,21.3,698.64,0,0,0,0,21030,2204.33,1882.1,1697.54,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,319.9635862
2014-03-14,0.3,4.5,3.3,8.4,-0.9,66,21,2.1,17.2,701.76,0,0,0,0,21030,2204.58,1881.87,1697.26,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,316.2294624
2014-03-15,0,0,6.9,14.1,-1.4,59,16,2.6,13.5,568.96,0,0,0,0,21030,2204.68,1881.8,1697,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,290.0002109
2014-03-17,1.3,26.5,12.4,20.1,3.8,71,18,2.5,16.1,758.38,0,0,0,0,21030,2203.72,1881.8,1696.95,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,291.604363
2014-03-18,0.5,13.5,12.6,18.3,7.4,67,13,3.1,14.6,730.22,0,0,0,0,21030,2203.71,1881.66,1696.52,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,297.0822535
2014-03-19,0.1,2.5,9,12.6,5.8,64,29,2,11.6,695.36,0,0,0,0,21030,2204,1881.47,1696.19,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,291.0260356
2014-03-20,2.7,17.5,6.4,10.7,3,69,20,3,24.2,780.68,0,0,0,0,21030,2203.07,1881.27,1695.94,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,288.7684102
2014-03-21,0,0.5,5,10.4,0.5,59,17,2.6,21,776.04,0,0,0,0,21030,2203.16,1880.8,1695.33,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,294.3042738
2014-03-22,0,0,7.6,15.6,-1,58,14,1.9,8.9,603.67,0,0,0,0,21030,2202.87,1880.6,1694.98,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,273.4379645
2014-03-24,0,0.1,11.2,18.1,2.2,50,6,2.3,12.6,694.92,0,0,0,0,21030,2202.58,1880.33,1694.7,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,260.6609653
2014-03-25,9.3,35.5,14.2,18.1,11.2,72,20,1.8,13.5,615.32,0,0,0,0,21030,2201.07,1880.02,1694.39,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,287.8723266
2014-03-26,8.9,26,13.8,19,9.5,80,13,1.6,10.3,548.94,0,0,0,0,21030,2200.74,1879.79,1694.09,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,327.1527775
2014-03-27,0,0,12.7,20.6,6.4,71,12,1.6,9.1,496.71,0,0,0,0,21030,2201.43,1879.51,1693.82,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,360.918006
2014-03-28,0,1.5,15.7,24.1,7.6,59,10,1.9,13.8,342.44,0,0,0,0,21030,2200.81,1879.34,1693.62,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,403.2185012
2014-03-29,10.7,70,14.2,17.2,11.7,82,23,1.9,14.8,821.03,0,0,0,0,21030,2200.91,1879.13,1693.22,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,329.6227773
2014-03-31,0,0,12,19.8,5.5,66,11,1.4,7.8,764.19,0,0,0,0,21030,2199.91,1878.94,1693.14,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8,330.8076385
2014-04-01,0,0,13.2,21.8,5.3,56,9,1.5,7.1,612.7,0,0,0,0,21030,2199.99,1878.66,1692.96,1.5,-3.5,2,2.5,0.7,1.8,2.3,1,298.765146
2014-04-02,0,0,14.3,22.6,6.3,48,11,1.6,9.4,678.41,0,0,0,0,21030,2200.63,1878.42,1692.75,1.5,-3.5,2,2.5,0.7,1.8,2.3,1,313.1483523
2014-04-03,4.9,34,10.7,18.1,5,62,12,2.4,18.6,743.43,0,0,0,0,21030,2199.82,1878.43,1692.64,1.5,-3.5,2,2.5,0.7,1.8,2.3,1,297.6470003
2014-04-04,0.8,14.5,7,11.9,2.8,54,14,3,22.7,746.9,0,0,0,0,21030,2200.23,1878.3,1692.45,1.5,-3.5,2,2.5,0.7,1.8,2.3,1,256.0238105
2014-04-05,0.6,6.5,6.2,12.3,1.2,59,12,2.6,20.8,570.61,0,0,0,0,21030,2200.23,1878.16,1692.11,1.5,-3.5,2,2.5,0.7,1.8,2.3,1,239.5899855
2014-04-07,0,0,11.6,19.2,3.9,47,10,2.8,12.5,626.9,0,0,0,0,21030,2200.29,1877.99,1691.93,1.5,-3.5,2,2.5,0.7,1.8,2.3,1,293.9555382
2014-04-08,0,0,12.2,20.7,3.9,47,8,1.8,9.9,616.76,0,0,0,0,21030,2197.6,1877.71,1691.4,1.5,-3.5,2,2.5,0.7,1.8,2.3,1,319.8034088
2014-04-09,0,0,12.9,20.9,4.9,59,8,1.8,9.2,715.64,0,0,0,0,21030,2198.53,1877.47,1691.14,1.5,-3.5,2,2.5,0.7,1.8,2.3,1,306.9787772
2014-04-10,0,0,12.8,20.7,7,61,9,2.3,11.5,646.76,0,0,0,0,21030,2198.3,1877.19,1690.81,1.5,-3.5,2,2.5,0.7,1.8,2.3,1,303.3391057
2014-04-11,0.1,1,12.3,17.8,7.8,62,16,1.7,9.4,608.93,0,0,0,0,21030,2198.85,1876.74,1690.21,1.5,-3.5,2,2.5,0.7,1.8,2.3,1,303.2161543
2014-04-12,0.1,10,13.4,18.1,9.4,66,19,1.4,7.9,528.59,0,0,0,0,21030,2198.31,1876.56,1689.76,1.5,-3.5,2,2.5,0.7,1.8,2.3,1,289.574355
2014-04-14,0,0,13.7,22.5,5,53,11,1.9,9.2,563.48,0,0,0,0,21030,2198.67,1876.29,1689.5,1.5,-3.5,2,2.5,0.7,1.8,2.3,1,333.8324915
2014-04-15,0,0,16,23.6,7.5,57,15,2.4,11.3,519.77,0,0,0,0,21030,2200.45,1876.08,1689.05,1.5,-3.5,2,2.5,0.7,1.8,2.3,1,370.5214249
