날짜,평균강수량,최대강수량,평균기온,최고기온,최저기온,평균습도,최저습도,평균풍속,최대풍속,무거래량,무생산량,무저장이월량,무수입량,무수입금액,무재배면적,고급휘발유,보통휘발유,자동차용경유,소비자물가지수,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가,무가격
2019-10-25,0.3,9.4,16.8,22.6,11.8,72,32,1.6,13.3,1566.31,1127832,0,4015,1005,19498,1826.82,1537.72,1384.57,0,-3.8,-0.3,-0.2,-1,1.7,0.8,-0.3,832.699164
2019-10-26,0,0.5,12.6,17,8.5,63,21,2.3,14.4,1241.54,1127832,0,4015,1005,19498,1825.9,1537.45,1384.2,0,-3.8,-0.3,-0.2,-1,1.7,0.8,-0.3,772.9142943
2019-10-28,0.2,5,11.1,18.3,3.9,71,19,1.4,10,1611.33,1127832,0,4015,1005,19498,1826.53,1537.26,1383.83,0,-3.8,-0.3,-0.2,-1,1.7,0.8,-0.3,793.8981434
2019-10-29,0.7,7,12.9,18.5,7.8,67,20,1.9,12.5,1620.72,1127832,0,4015,1005,19498,1825.48,1536.99,1383.52,0,-3.8,-0.3,-0.2,-1,1.7,0.8,-0.3,801.8033596
2019-10-30,0,0,10.8,18.1,5.1,68,18,1.4,10.1,1289.21,1127832,0,4015,1005,19498,1824.84,1536.81,1383.34,0,-3.8,-0.3,-0.2,-1,1.7,0.8,-0.3,856.2228148
2019-10-31,0,0,12.9,20.4,5.5,73,24,1.6,10.5,1710.33,1127832,0,4015,1005,19498,1824.33,1536.62,1383.13,0,-3.8,-0.3,-0.2,-1,1.7,0.8,-0.3,816.7795529
2019-11-01,0,0,14,21.6,8.5,73,18,1.2,10.7,1920.67,1127832,0,4015,1005,19498,1823.64,1536.09,1382.59,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,763.301051
2019-11-02,0,0,13.1,19.8,7.3,78,31,0.9,6.3,1500.41,1127832,0,4015,1005,19498,1823.37,1535.8,1382.22,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,781.464414
2019-11-04,0.1,4.7,12.1,18.7,7.2,76,31,1.2,8.8,2194.99,1127832,0,4015,1005,19498,1822.33,1535.6,1382.03,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,771.436106
2019-11-05,0,0.2,11.3,18.8,5.6,76,22,1.3,8.4,1916.65,1127832,0,4015,1005,19498,1821.86,1535.12,1381.52,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,750.7060179
2019-11-06,0,0,10.9,18.5,5,72,22,1.1,7.5,1970.95,1127832,0,4015,1005,19498,1821.3,1534.76,1381.18,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,755.976426
2019-11-07,0,0.9,10.4,16.8,5.2,65,19,1.8,13.4,2067.88,1127832,0,4015,1005,19498,1820.76,1534.42,1380.76,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,751.2224003
2019-11-08,0,3.5,7.5,15.2,1.8,59,14,1.4,12.5,1965.72,1127832,0,4015,1005,19498,1820.17,1534.33,1380.75,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,765.527493
2019-11-09,0.1,16.1,8.1,17.1,1,61,16,1.2,10.6,1993.09,1127832,0,4015,1005,19498,1819.96,1534.22,1380.51,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,722.632935
2019-11-11,1,18.8,11.7,16.7,7.4,74,36,2.2,17.9,2561.48,1127832,0,4015,1005,19498,1819.42,1534.28,1380.39,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,741.9852738
2019-11-12,0,0.9,9.2,16.3,4.3,75,21,1.1,8.7,1937.41,1127832,0,4015,1005,19498,1819.84,1534.38,1380.34,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,753.7182321
2019-11-13,2.7,23,8.6,13.5,3.3,75,17,1.8,19.6,2357.74,1127832,0,4015,1005,19498,1819.54,1534.43,1380.28,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,721.8127176
2019-11-14,0,0.6,3.3,8.4,-1.1,44,10,2.7,20.2,2058.94,1127832,0,4015,1005,19498,1819.58,1534.64,1380.18,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,736.7546518
2019-11-15,3.3,23.4,6.8,13.5,-1.5,71,21,1.7,12.2,2199.06,1127832,0,4015,1005,19498,1819.32,1534.8,1380.27,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,833.7240519
2019-11-16,0.3,3.5,10.1,16.9,5,81,17,1.2,7.3,2478.89,1127832,0,4015,1005,19498,1819.52,1535.02,1380.14,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2,769.4048727
