날짜,평균강수량,최대강수량,평균기온,최고기온,최저기온,평균습도,최저습도,평균풍속,최대풍속,대파거래량,대파생산량,대파저장이월량,대파수입량,대파수입금액,대파재배면적,고급휘발유,보통휘발유,자동차용경유,소비자물가지수,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가,대파가격
2017-11-18,0,30.9,2,7.6,-2.1,44,8,3.6,19.1,324.94,378827,0,11814,62005,13122,1850.93,1524.64,1316.3,1.2,0.2,1.4,1.4,0.7,2.3,1.1,1.3,1260.283405
2017-11-20,0,2.3,3.1,8.3,-1.5,55,14,2,9.9,377.33,378827,0,11814,62005,13122,1852.48,1525.97,1317.77,1.2,0.2,1.4,1.4,0.7,2.3,1.1,1.3,1467.5557
2017-11-21,0,0.5,2.9,10.2,-2.7,63,10,1.2,11,363.17,378827,0,11814,62005,13122,1853.12,1526.88,1318.76,1.2,0.2,1.4,1.4,0.7,2.3,1.1,1.3,1280.477965
2017-11-22,0.5,3.6,5.3,10.7,0.1,63,15,1.8,15.4,337.17,378827,0,11814,62005,13122,1853.54,1527.6,1319.5,1.2,0.2,1.4,1.4,0.7,2.3,1.1,1.3,1093.529258
2017-11-23,0.6,6.8,2.3,6.7,-2,57,15,2.4,18.2,264.51,378827,0,11814,62005,13122,1853.82,1528.28,1320.24,1.2,0.2,1.4,1.4,0.7,2.3,1.1,1.3,1325.07359
2017-11-24,1.3,8,1.9,6.5,-2.1,68,17,2.2,16.1,360.6,378827,0,11814,62005,13122,1852.33,1529.12,1321.02,1.2,0.2,1.4,1.4,0.7,2.3,1.1,1.3,1250.172048
2017-11-25,3.3,33.5,4,10.4,-3.4,70,26,1.9,13.4,346.54,378827,0,11814,62005,13122,1852.52,1529.99,1321.87,1.2,0.2,1.4,1.4,0.7,2.3,1.1,1.3,1352.448411
2017-11-27,0,0,3.9,11.6,-1.8,73,28,1.1,8.4,427.21,378827,0,11814,62005,13122,1852.09,1531.27,1323.38,1.2,0.2,1.4,1.4,0.7,2.3,1.1,1.3,1228.343383
2017-11-28,0,2.6,7.3,14.4,0.7,76,20,1.2,9.8,350.18,378827,0,11814,62005,13122,1852.94,1532.2,1324.24,1.2,0.2,1.4,1.4,0.7,2.3,1.1,1.3,1198.330616
2017-11-29,0,10.9,7.5,12.2,3.1,52,12,2.3,14.1,332.22,378827,0,11814,62005,13122,1853.11,1533.11,1325.08,1.2,0.2,1.4,1.4,0.7,2.3,1.1,1.3,1054.937992
2017-11-30,0,4.8,2.1,6.6,-1.9,32,8,3.1,14.5,294.27,378827,0,11814,62005,13122,1853.63,1533.76,1325.78,1.2,0.2,1.4,1.4,0.7,2.3,1.1,1.3,1098.543927
